Generated_SELFIES	Generated_SMILES	Ground_Truth_SELFIES
[C][C@@][C@H1][Branch2][Ring2][P][C][C][C@@][Branch2][Ring2][Ring1][C@@H1][Ring1][=Branch1][C@@H1][Branch2][Ring1][#Branch1][C@][C@H1][Ring1][Branch1][C][C][C@H1][Branch1][Ring2][C][Ring1][=Branch1][Branch1][Branch2][C][=Branch1][C][=C][O][C][=Branch1][C][=O][O][C][C][O][=O]	C[C@@]1[C@H1]CC[C@@]([C@@H1]1[C@@H1]([C@]2[C@H1]CC[C@H1](C2)C(=C)OC=O)OCCO)=O	[C][C@][Branch2][Ring2][N][C][C][C][C@@][Branch2][Ring1][S][C@@H1][Ring1][=Branch1][C@@H1][Branch2][Ring1][Ring2][C@][C@H1][Ring1][Branch1][C][C][C@H1][Branch1][Ring2][C][Ring1][=Branch1][C][=Branch1][C][=C][C][Ring1][=Branch2][C][=Branch1][C][=O][O][C][=Branch1][C][=O][O][C][=Branch1][C][=O][O]
[C][N][Branch1][C][C][C][C][=Branch2][Ring1][C][=C][Branch1][Branch1][C][C][=C][Ring1][=Branch1][C@H1][=Branch1][C][=Branch1][C][=O][C][=C][Branch1][#Branch2][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O]	CN(C)C1C(=C(CC=C12)[C@H1]C=O)C=C2C(=O)O	[C][C@H1][Branch2][Ring1][=Branch2][C][=C][C][=C][Branch1][O][C][=C][C][=C][C][=C][Ring1][=Branch1][Ring1][#Branch2][C][C][C][C][C][C][Ring1][=Branch1][C][=Branch1][C][=O][O]
[C][Branch1][=Branch1][C][O][P][=Branch1][C][=O][Branch1][C][C][=Branch1][C][=O][O]	C(COP=O)(C)(O)O	[C][Branch1][=Branch1][C][=Branch1][C][=O][O][P][=Branch1][C][=O][Branch1][C][O][O]
[C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][=Branch1][C][=O][O][C][C][C@H1][Branch2][Branch1][=Branch1][C][C][C][C][C@@H1][Branch2][Ring2][=Branch2][C@H1][Branch2][Ring2][S][C][C@@][Ring1][=Branch1][Branch1][#Branch2][C][C][C@@][Ring1][Branch1][Branch2][Ring1][=Branch2][C][C][C][O][C@H1][C@@H1][Branch2][Ring1][P][C@H1][Branch1][=N][C@H1][Branch1][=Branch2][C][O][Ring1][=Branch1][C][O][O][O][C@@H1][C@@][Ring1][=Branch1][C][C][C][C][C][C][C][C][C][C][C][Branch1][C][C][C][C][C][C][C][O]	CCCCCCCCCCCCCCCC(=O)OCC[C@H1](CCC1C[C@@H1][C@H1]C2[C@@]1CC[C@@]2CCCO[C@H1]3[C@@H1][C@H1]([C@H1](CO3)[C@@H1])[C@@]CCCCCCCCCCCC)CCCCCO	[C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][=Branch1][C][=O][O][C][C@@H1][C@H1][Branch2][=Branch1][Branch1][C@@H1][Branch2][Branch1][S][C@H1][Branch2][Branch1][O][C@@H1][Branch1][Ring2][O][Ring1][=Branch1][O][C@H1][C][C][C@@][Branch2][Ring2][N][C@H1][C][C][C@][Branch2][Ring2][Ring2][C@H1][Branch1][N][C@@H1][Ring1][=Branch1][C][C][=C][Ring1][#Branch2][C][Ring1][=C][C][C][C@@H1][Ring1][#Branch2][C@H1][Branch1][C][C][C][C][C@@H1][Branch1][Ring1][C][C][C][Branch1][C][C][C][C][C][O][O][O]
[C][=C][C][=Branch1][C][=O][C][=Branch1][C][=O][N][Ring1][#Branch1][C][=Branch1][C][=O][C][C][=Branch1][N][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][O][C][=Branch1][C][=O][O-1]	C1=CC(=O)C(=O)N1C(=O)CC(=C(C=C)OC=O)[O-1]	[C][C][C][=Branch1][C][=O][C][C][Ring1][=Branch1][C][=Branch1][C][=O][O-1]
[C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=Branch1][Branch1][=C][N][Ring1][=Branch1][C][C][Branch1][=N][C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=O][O-1]	C1=CC=C2C(=C1)C(=CN2)CC3CC=C(C=C3)C=O	[C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=Branch1][Branch1][=C][N][Ring1][=Branch1][C][C][Branch1][=Branch1][C][=Branch1][C][=O][O-1][N]
[C][Branch2][Ring2][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][N][N]	C(CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC)CNN	[C][Branch1][Ring1][C][N][C][N][C][C][C][N][C][C][C][N]
[C][=C][C][=Branch2][Ring1][N][=C][C][=C][Ring1][=Branch1][S][=Branch1][C][=O][O-1][C][O][S][=Branch1][C][=O][=Branch1][C][=Branch1][C][=O][O-1]	C1=CC=CC=C1S(=O)[O-1]	[C][C][Branch2][Ring1][C][C][C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Ring1][O][=O][S][=Branch1][C][=O][=Branch1][C][=O][O-1]
[C][O][C][=Branch2][Ring1][O][=C][C][=Branch1][C][=O][C][=N][C][=C][C][=C][Branch1][Branch1][C][Ring1][=Branch1][N][C][O][C][N]	COC=CC(=O)C=NC=CC=C(CN)COCN	[C][O][C][=C][Branch2][Ring2][N][C][=Branch2][Ring2][=Branch1][=C][Branch2][Ring1][P][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][C][=N][C][=C][Branch2][Ring1][C][N][=C][Branch1][=N][N][=C][Ring1][=Branch1][N][Ring1][=Branch2][C][C][C][C][#C][F][N][Cl][O][C][O][C]
[C][C][C][C][C][=Branch1][C][=O][C@][Branch2][Branch1][Branch2][C][=Branch1][C][=O][O][C@@][Ring1][#Branch1][Branch2][Ring2][O][C@@H1][Ring1][#Branch1][Branch2][C@H1][Branch2][=Branch1][Branch2][Ring1][#C][C@@H1][Branch2][Ring1][#Branch2][C@@H1][C@@][Branch2][Ring1][Ring1][C][C@@][Ring1][Branch1][C][Branch1][Branch1][C][C][=Branch1][C][=O][O][C][=Branch1][C][O][C][=C][C][=O][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][O][C][O][C][O]	C1CCCC(=O)[C@]C(=O)O[C@@][C@@H1][C@H1]1	[C][C@@][Branch2][=Branch1][N][C][C][C@@H1][Branch2][Branch1][=Branch2][C@@][Branch2][Branch1][Ring2][C@][Ring1][=Branch1][C@@H1][Branch2][Ring1][S][C@@H1][Branch2][Ring1][C][C][C@H1][Ring1][=Branch1][O][C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Branch1][Ring2][O][Ring1][S][Branch1][C][C][C][O][C][=Branch1][C][=O][C][=C][N][=C][C][=C][Ring1][=Branch1][C][O][C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][O]
[C][C][=Branch1][=Branch2][=C][C][C][Branch1][C][O][O]	CC=CCC(O)O	[C][/C][=Branch1][Ring2][=C][/C][=O][/C][O]
[C][C@@H1][Branch1][=Branch1][C][=Branch1][C][=O][C][O][O][P][=Branch1][C][=O][Branch1][C][O-1][O-1]	C[C@@H1](C(=O)C)OOP(=O)([O-1])[O-1]	[C][C][=Branch1][C][=O][C@H1][Branch1][O][C][O][P][=Branch1][C][=O][Branch1][C][O-1][O-1][O]
[C][=C][C][=Branch2][Ring1][=Branch1][=C][C][=C][Ring1][=Branch1][C][=C][C][=O][C][=C][Branch1][P][C][=Branch1][Branch1][=C][C][=C][Ring1][=Branch1][O][S][=Branch1][C][=O][=Branch1][C][=O][O][O]	C1=CC(=CC=C1C=CC=O)OS(=O)(=O)OO	[C][=C][C][=Branch1][#C][=C][C][=C][Ring1][=Branch1][C][=C][C][=Branch1][C][=O][O][Ring1][#Branch1][O][S][=Branch1][C][=O][=Branch1][C][=O][O]
[C][O][C][=Branch1][C][=O][C][C][C][C][Branch1][=Branch2][C][C][=C][C][=C][C][=Branch1][=Branch1][=C][Ring1][=Branch1][N][C][C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][N][N]	COC(=O)CCCC(CC1=CC=CC=C1NC2)CC=C(C=C2)NN	[C][O][C][=Branch1][C][=O][N][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][N]
[C][C][N][C][C][C][Branch2][Ring1][Ring1][Branch1][C][=C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C][C][C][=C][C][=C][Ring1][=Branch1]	C1CNCCC1C=CC2=CC=CC=C2CCCC=CC=C	[C][C][N][Branch1][N][C][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1]
[C][C][=Branch1][C][=O][N][C@@H1][C@H1][Branch2][#C][Branch1][C@@H1][Branch2][Ring1][#C][C@H1][Branch2][Ring1][#C][O][C@H1][Ring1][=Branch1][O][C][C@@H1][C@@H1][Branch2][S][Branch1][C@H1][Branch2][=C][=Branch2][C@@H1][Branch1][=Branch2][C@H1][Branch1][Ring2][O][Ring1][=Branch1][C][O][O][O][C@H1][Branch2][=Branch2][=N][C@H1][Branch2][Branch2][Branch1][C@@H1][Branch2][=Branch2][Ring2][C@H1][Branch2][N][O][C][=Branch1][C@H1][Branch1][Ring2][O][Ring1][=Branch1][C][C@H1][Branch2][=N][Branch2][C@@H1][Ring1][C@H1][Branch1][Ring2][O][Ring1][=Branch1][C][O][O][O][O][C@H1][C@@H1][O][C@H1][Branch2][Branch2][#Branch1][C@@H1][Branch2][Ring1][Ring2][O][C@H1][Branch1][Ring2][O][Ring1][=Branch1][O][O][=Branch1][O][O][O][C][O][C@@H1][C][=N][C@H1][Branch2][P][C@@H1][Branch1][=Branch2][C@H1][Branch1][=Branch2][C@H1][Branch1][C][O][=Branch1][C][O][O][O][O][O][Ring2][C@H1][Ring1][C][C@H1][Branch1][Ring2][Ring2][C@H1][Branch1][O][Branch1][O][Ring1][O][O][Ring1][O][C@@H1][O][=Branch2][C][C@H1][Branch1][C@H1][P][Branch1][P][C@H1][=Branch1][=Branch2][C@@H1][P][Branch1][C][C@H1][O][=Branch2][Ring2][=N][C@@H1][O][Branch1][O][Ring1][Ring1][=Branch2][Branch1][C@H1][C@@H1][O][C][O][O][=Branch1][C@@H1][O][O][O][Branch1][O][O][C@H1][O][Branch1][Branch1][Ring1][C@H1][=Branch2][Ring1][O][P][O][O][C][C@@H1][=Branch1][Ring2][O][O][C][Branch1][O][C@H1][O][C][C][O][C][O][C@@H1][Branch1][Branch1][C][C][O]	C1C(=O)N[C@@H1]2[C@H1][C@@H1][C@H1]O[C@H1]2OC[C@@H1]3[C@@H1][C@H1][C@@H1]([C@H1](O3)CO)OO[C@H1]4[C@H1][C@@H1][C@H1]C(O4)C[C@H1]=[C@@H1]1	[C][C][=Branch1][C][=O][N][C@@H1][C@H1][Branch2][=C][C][C@@H1][Branch2][Ring2][Branch1][C@H1][Branch2][Ring1][#C][O][C@H1][Ring1][=Branch1][O][C@@H1][C@H1][Branch2][Ring1][Ring1][O][C][Branch1][=C][C@@H1][Branch1][Branch1][C@H1][Ring1][=Branch1][O][N][C][=Branch1][C][=O][C][O][C][O][C][O][O][C@H1][C@H1][Branch2][O][Ring1][C@H1][Branch2][#Branch1][#Branch2][C@@H1][Branch2][#Branch1][Branch1][C@H1][Branch1][Ring2][O][Ring1][=Branch1][C][O][C@@H1][C@H1][Branch2][=Branch1][#Branch1][C@H1][Branch2][Ring2][=N][C@@H1][Branch2][Ring2][Branch2][C@H1][Branch1][Ring2][O][Ring1][=Branch1][C][O][C@@H1][C@H1][Branch2][Ring1][#Branch2][C@H1][Branch2][Ring1][Branch1][C@@H1][Branch1][P][C@H1][Branch1][Ring2][O][Ring1][=Branch1][C][O][P][=Branch1][C][=O][Branch1][C][O][O][O][O][O][O][O][C@@H1][C@H1][Branch1][P][C@H1][Branch1][=N][C@@H1][Branch1][=Branch2][C@H1][Branch1][Ring2][O][Ring1][=Branch1][C][O][O][O][O][O][O][O][C@@H1][C@H1][Branch1][P][C@H1][Branch1][=N][C@@H1][Branch1][=Branch2][C@H1][Branch1][Ring2][O][Ring1][=Branch1][C][O][O][O][O][C@@H1][C@H1][Branch2][Ring1][#Branch2][C@H1][Branch2][Ring1][Branch1][C@@H1][Branch1][P][C@H1][Branch1][Ring2][O][Ring1][=Branch1][C][O][P][=Branch1][C][=O][Branch1][C][O][O][O][O][O][O][O]
[C@H1][Branch2][Ring1][=C][C@H1][Branch2][Ring1][C][C][Branch1][=N][C@H1][Branch1][=Branch2][C@@H1][Branch1][Branch1][C][Ring1][=Branch1][O][O][O][O][O][O]	[C@H1]1[C@H1](C([C@H1]([C@@H1](C1O)O)O)OO)O	[C@H1][Branch2][Ring1][=C][C@H1][Branch2][Ring1][=Branch2][C][Branch1][=N][C@@H1][Branch1][=Branch2][C@@H1][Branch1][Branch1][C][Ring1][=Branch1][O][O][O][O][P][=Branch1][C][=O][Branch1][C][O][O][O][O]
[C][Br][Branch1][C][C][Br]	CBr	[C][Branch1][C][Br][Br]
[C][C][Branch1][C][C][Branch2][Branch1][=N][C][O][P][=Branch1][C][=O][Branch1][C][O-1][O][P][=Branch1][C][=O][Branch1][C][O-1][O][C][C@@H1][C@H1][Branch2][Ring1][N][C@H1][Branch2][Ring1][#Branch1][C@@H1][Branch1][Ring2][O][Ring1][Branch1][N][C][=N][C][=C][Branch1][=Branch2][N][=C][N][=C][Ring1][=Branch1][Ring1][=Branch2][N][O][O][P][=Branch1][C][=O][Branch1][C][O-1][O-1][C@H1][Branch2][Ring1][S][C][=Branch1][C][=O][N][C][C][C][=Branch1][C][=O][N][C][C][S][C][=Branch1][C][=O][/C][=C][/C][=C][C][=Branch1][=Branch2][=C][Branch1][=C][Ring1][=Branch1][O][O]	CC(C)(COP(=O)([O-1])OP(=O)([O-1])OC[C@@H1]1[C@H1]([C@H1]([C@@H1](O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)([O-1])[O-1])[C@H1]C(=O)NCCC(=O)NCCSC(=O)/C4=C/C=CC=C4	[C][C][Branch1][C][C][Branch2][Branch1][=N][C][O][P][=Branch1][C][=O][Branch1][C][O-1][O][P][=Branch1][C][=O][Branch1][C][O-1][O][C][C@@H1][C@H1][Branch2][Ring1][N][C@H1][Branch2][Ring1][#Branch1][C@@H1][Branch1][Ring2][O][Ring1][Branch1][N][C][=N][C][=C][Branch1][=Branch2][N][=C][N][=C][Ring1][=Branch1][Ring1][=Branch2][N][O][O][P][=Branch1][C][=O][Branch1][C][O-1][O-1][C@H1][Branch2][Ring2][Branch1][C][=Branch1][C][=O][N][C][C][C][=Branch1][C][=O][N][C][C][S][C][=Branch1][C][=O][/C][=C][/C][=C][C][=Branch1][=Branch2][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][O][O][C][O]
[C][=C][C][=Branch2][Ring1][#Branch1][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][N][C][=Branch1][C][C@@H1][Branch1][=Branch1][C][=Branch1][C][=O][O][O][O]	C1=CC=CC(=C1)CNC([C@@H1])C(=O)OOO	[C][=C][C][=Branch1][N][=C][Branch1][Branch2][C][=Branch1][Ring2][=C][Ring1][=Branch1][O][O][C][=Branch1][C][=O][N][C@@H1][Branch1][Ring1][C][O][C][=Branch1][C][=O][O]
[C][Branch2][Ring1][=C][C@@H1][C@H1][Branch2][Ring1][=Branch2][C@@H1][Branch2][Ring1][Ring2][C@H1][Branch1][P][C@H1][Branch1][Ring2][O][Ring1][=Branch1][O][C][=Branch1][C][=O][C][O][O][O][O][O]	C[C@@H1]1[C@H1][C@@H1]([C@H1][C@H1](O1)OC(=O)COOOO)O	[C][Branch2][Ring1][=C][C@@H1][C@H1][Branch2][Ring1][Branch2][C@@H1][Branch2][Ring1][Ring1][C@H1][Branch1][#C][C@@H1][Branch1][Ring2][O][Ring1][=Branch1][O][C][Branch1][Ring1][C][O][C][O][O][O][O][O]
[C][C@H1][C@H1][Branch2][O][=C][C@H1][Branch2][O][P][C@@H1][Branch2][=Branch2][Branch1][C@@H1][Branch1][Ring2][O][Ring1][=Branch1][O][C@@H1][C@H1][Branch2][=Branch2][C][O][C@H1][Branch2][=Branch2][Ring1][C@@H1][Branch2][Ring1][=C][C@H1][Ring1][=Branch1][O][C@H1][C@H1][Branch2][Ring2][=Branch1][C@H1][Branch1][=N][C@H1][Branch1][=Branch2][C@H1][Ring1][=Branch1][O][O][O][O][N][C][=Branch1][C][=O][C][O][C@H1][C@H1][O][C@H1][Branch1][=Branch2][C][C@H1][Branch1][Ring2][O][Ring1][=Branch1][C][O][O][O][C][O][O][C@@H1][C@H1][Branch1][=N][C@@H1][Branch1][P][C@H1][Branch1][=Branch2][C@@H1][Branch1][Branch1][Branch1][Ring2][Ring1][=Branch1][C][O][O][O][C@H1][C@@H1][Branch2][Branch2][Ring2][=Branch1][C@H1][C@@H1][Branch2][Ring2][Ring1][Ring2][O][C@H1][Branch1][=N][C@H1][C@@H1][Branch1][Branch1][=N][C@H1][Branch1][Branch1][O][Ring1][C@@H1][Branch1][O][O][=Branch1][C][N][O][O][O][O][O][C][C][=O][C][=Branch1][C][C][O][C][C][=O][O][O][O]	C1[C@H1]2[C@H1][C@H1][C@@H1]([C@@H1](O2)O[C@@H1]3[C@H1]O[C@H1][C@@H1]([C@H1]3O[C@H1][C@H1][C@H1]([C@H1]([C@H1]OOOON)C)C=O)COO[C@@H1][C@H1]1[C@@H1][C@H1]([C@@H1]C)OOO[C@H1][C@@H1])OC(C)OCC=O	[C][C@H1][C@H1][Branch2][=C][S][C@H1][Branch2][=C][O][C@@H1][Branch2][=C][=Branch1][C@@H1][Branch1][Ring2][O][Ring1][=Branch1][O][C@@H1][C@H1][Branch2][=N][Ring2][C@@H1][Branch2][N][#C][O][C@@H1][Branch2][N][Branch2][C@H1][Ring1][=Branch1][O][C@H1][C@@H1][Branch2][O][=C][C@H1][Branch2][O][=Branch2][C@H1][Branch1][=Branch2][C@H1][Branch1][Ring2][O][Ring1][=Branch1][C][O][O][C@H1][C@@H1][Branch2][#Branch2][C][C@H1][Branch2][Branch2][=Branch2][C@@H1][Branch1][=Branch2][C@H1][Branch1][Ring2][O][Ring1][=Branch1][C][O][O][C@H1][C@@H1][Branch2][#Branch1][#Branch1][C@H1][Branch2][#Branch1][C][C@H1][Branch1][=Branch2][C@H1][Branch1][Ring2][O][Ring1][=Branch1][C][O][O][C@H1][C@@H1][Branch2][Branch1][O][C@H1][Branch2][Ring2][C][C@@H1][Branch1][=Branch2][C@H1][Branch1][Ring2][O][Ring1][=Branch1][C][O][O][C@H1][C@@H1][Branch1][P][C@H1][Branch1][=N][C@H1][Branch1][=Branch2][C@H1][Branch1][Ring2][O][Ring1][=Branch1][C][O][O][O][O][O][C@H1][C@H1][Branch1][S][C@@H1][Branch1][N][C@@H1][Branch1][Branch2][C@@H1][Branch1][Ring2][O][Ring1][=Branch1][C][O][O][O][N][C][=Branch1][C][=O][C][O][O][O][C@H1][C@H1][Branch1][S][C@@H1][Branch1][N][C@@H1][Branch1][Branch2][C@@H1][Branch1][Ring2][O][Ring1][=Branch1][C][O][O][O][N][C][=Branch1][C][=O][C][O][O][C][O][O][N][C][=Branch1][C][=O][C][O][O][O]
[C][C][=Branch1][C][=O][O][C@H1][P][C@H1][Branch1][=N][C@H1][Branch1][#Branch1][C][Branch1][Ring1][C][O][O][O][C][O][C][=Branch1][C][=O][C]	CC(=O)O[C@H1]P[C@H1]([C@H1](C(CO)O)OCO)C(=O)C	[C][C][Branch2][Ring2][#Branch1][O][C@@H1][C][O][C@@][Branch2][Ring1][Branch1][C@H1][Branch1][#Branch1][C@@H1][Ring1][=Branch1][O][Ring1][=Branch2][O][C][Branch1][Ring2][O][Ring1][#Branch1][Branch1][C][C][C][C][O][S][=Branch1][C][=O][=Branch1][C][=O][N][C]
[C][C][Branch1][C][C][C][C][C][C][Branch1][C][C][C][C][C][Branch2][#Branch1][=Branch1][C][=O][S][N][C][=Branch1][C][=O][C][C][N][C][=Branch1][C][=O][C][=Branch1][C][=O][C][C][C@@H1][Branch2][=Branch1][Ring2][C][C][Branch1][C][C][C][Branch1][C][C][O][P][=Branch1][C][=O][C][O][O][P][=Branch1][C][=O][Branch1][C][O][O][C][C@@H1][C@H1][Branch2][Ring1][N][Ring1][#Branch1][C@@H1][Branch1][Ring2][O][Branch1][Ring2][O][Ring1][Branch1][N][C][=N][C][=C][Branch1][=Branch2][N][=C][Ring1][=Branch1][Ring1][N][O][O][P][=Branch1][C][=O][Branch1][C][O][O][O][O][O]	CC(C)CCCC(C)CCC(C=O)=O	[C][C][Branch1][C][C][C][C][C][C][C][C][C][C][C][C][Branch2][#Branch1][=N][C][C][=Branch1][C][=O][S][C][C][N][C][=Branch1][C][=O][C][C][N][C][=Branch1][C][=O][C@@H1][Branch2][=Branch1][Ring2][C][Branch1][C][C][Branch1][C][C][C][O][P][=Branch1][C][=O][Branch1][C][O][O][P][=Branch1][C][=O][Branch1][C][O][O][C][C@@H1][C@H1][Branch2][Ring1][N][C@H1][Branch2][Ring1][#Branch1][C@@H1][Branch1][Ring2][O][Ring1][Branch1][N][C][=N][C][=C][Branch1][=Branch2][N][=C][N][=C][Ring1][=Branch1][Ring1][=Branch2][N][O][O][P][=Branch1][C][=O][Branch1][C][O][O][O][O]
[C][C@H1][C@@H1][Branch2][Ring1][Ring1][C][C@H1][Branch2][Ring1][S][C@@H1][Branch1][Ring2][O][Ring1][=Branch1][O][C][C][C][C][C][C][C][C][C][C][C@H1][Branch1][#Branch1][C][=Branch1][C][=O][O][O][O]	C[C@H1]1[C@@H1]C[C@H1][C@@H1](O1)OCCCCCCCCCC[C@H1](C(=O)OO)O	[C][C@H1][C@@H1][Branch2][Ring1][S][C][C@H1][Branch2][Ring1][#Branch2][C@@H1][Branch1][Ring2][O][Ring1][=Branch1][O][C][C][C][C][C][C][C][C][C@H1][Branch1][#Branch1][C][C][=Branch1][C][=O][O][O][O][O]
[C][C][C][C][C][/C][=C][C][=O]	CCCCC/C=CC=O	[C][C][C][C][C][C][/C][=C][/C][=O]
[C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][/C][=C][O][C][=Branch1][C][=O][C][=C][C][=Branch1][Ring1][F]	C1=CC=C(C=C1)/C=COC(=O)C=CCF	[C][C][Branch2][Ring1][=Branch2][/C][=C][/C][=C][C][=Branch1][=Branch1][=C][C][=C][Ring1][=Branch1][O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][F][N][Branch1][=Branch1][C][=Branch1][C][=O][N][O]
[C][Branch2][Branch2][=Branch2][Ring2][C@H1][Branch2][=Branch2][P][C@H1][Branch2][=Branch2][Branch2][C@H1][Branch1][Ring1][=Branch1][O][=Branch1][C][=Branch1][C][=O][O][O][C@H1][C@@H1][Branch2][#Branch1][=Branch2][C@H1][Branch2][Branch1][Branch2][C@H1][Branch1][Branch1][O][Ring1][=Branch1][O][O][C@@H1][C@@][Branch2][Ring2][Ring2][C@H1][Branch2][=Branch1][#C][C@@H1][Branch1][Ring2][O][Ring1][Branch1][Ring1][=Branch1][O][C@@][Branch2][Ring1][=C][C@H1][Branch1][P][Branch1][=N][C@@H1][Branch1][=Branch2][C@H1][Branch1][Ring2][O][Ring1][=Branch1][C][O][O][O][P][=Branch1][C][=O][Branch1][C][Ring2][O][O][C@@H1][C@H1][Branch1][#C][C@@H1][Branch1][=Branch1][O][O][C@@H1][Ring1][Branch1][C][C][O][O][O][O][C][=Branch1][C][=O][O][C][O][N][C][N][O][C][=O][O][C][C][=Branch1][O][C][O]	COC(=O)OCONCNOC=O	[C][C@H1][Branch2][Branch2][=C][C@H1][Branch2][Branch2][=Branch2][C@H1][Branch2][#Branch1][#C][O][C@][Ring1][=Branch1][Branch1][=Branch1][C][=Branch1][C][=O][O][O][C@@H1][C][C@@][Branch1][#C][O][C@@H1][Branch1][Branch1][C@@H1][Ring1][=Branch1][O][C@@H1][Branch1][Ring1][C][O][O][Branch1][=Branch1][C][=Branch1][C][=O][O][O][C][C@@H1][C@H1][Branch2][Ring2][P][C@@H1][Branch2][Ring2][N][C@H1][Branch2][Ring2][#Branch1][C@@H1][Branch1][Ring2][O][Ring1][=Branch1][O][C][C@@H1][C@H1][Branch2][Ring1][=Branch2][C@@H1][Branch2][Ring1][Ring2][C@H1][Branch1][S][C@H1][Branch1][Ring2][O][Ring1][=Branch1][O][P][=Branch1][C][=O][Branch1][C][O][O][N][O][O][N][O][O][C@@H1][Branch1][Ring1][C][O][O][O][O]
[C][C][Branch1][C][C][Branch2][Branch1][=N][C][O][P][=Branch1][C][=O][Branch1][C][O][O][P][=Branch1][C][=O][Branch1][C][O][O][C][C@@H1][C@H1][Branch2][Ring1][N][C@H1][Branch2][Ring1][#Branch1][C@@H1][Branch1][Ring2][O][Ring1][Branch1][N][C][=N][C][=C][Branch1][=Branch2][N][=C][N][=C][Ring1][=Branch1][Ring1][=Branch2][N][O][O][P][=Branch1][C][=O][Branch1][C][O][O][C@H1][Branch2][Ring1][=C][C][=Branch1][C][=O][N][C][C][C][=Branch1][C][=O][N][C][C][S][C][=Branch1][C][=O][C][=C][C][=Branch1][=O][O]	CC(C)(COP(=O)(O)OP(=O)(O)OC[C@@H1]1[C@H1]([C@H1]([C@@H1](O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)[C@H1]C(=O)NCCC(=O)NCCSC(=O)C=CCO	[C][C][Branch1][C][C][Branch2][Branch1][=N][C][O][P][=Branch1][C][=O][Branch1][C][O][O][P][=Branch1][C][=O][Branch1][C][O][O][C][C@@H1][C@H1][Branch2][Ring1][N][C@H1][Branch2][Ring1][#Branch1][C@@H1][Branch1][Ring2][O][Ring1][Branch1][N][C][=N][C][=C][Branch1][=Branch2][N][=C][N][=C][Ring1][=Branch1][Ring1][=Branch2][N][O][O][P][=Branch1][C][=O][Branch1][C][O][O][C@H1][Branch2][Ring1][P][C][=Branch1][C][=O][N][C][C][C][=Branch1][C][=O][N][C][C][S][C][=Branch1][C][=O][C][C][Branch1][C][C][Branch1][=Branch1][C][=Branch1][C][=O][O][O][O]
[C][C][C][C][C][C][=Branch1][C][=O][N][C@H1][Branch1][=Branch1][C][=O][Branch1][C][O-1][O]	CCCCCC(=O)N[C@H1](C=O)O	[C][C][C][C][C][C][=Branch1][C][=O][N][C@H1][Branch1][=Branch1][C][=Branch1][C][=O][O-1][O]
[C][O][C][=C][Branch2][Ring1][#Branch1][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][O][C][=C][Branch1][O][C][F][Branch1][C][=C][Ring1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][F][Branch1][C][F][Branch1][C][F]	C1OC=C(C(=C1)COC=C2CF)CC=C2CF	[C][=C][C][=Branch2][Branch1][=Branch2][=C][Branch1][Branch2][C][=Branch1][Ring2][=C][Ring1][=Branch1][F][C][=Branch1][C][=O][N][C][=Branch1][C][=O][N][C][=C][Branch2][Ring1][#C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][O][C][=C][Branch1][P][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][Branch1][C][F][Branch1][C][F][F][Cl][F][F]
